12.circle	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
12.circle.fill	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
12.square	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
12.square.fill	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
13.circle	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
13.circle.fill	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
13.square	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
13.square.fill	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
14.circle	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
14.circle.fill	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
14.square	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
14.square.fill	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
15.circle	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
15.circle.fill	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
15.square	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
15.square.fill	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
16.circle	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
16.circle.fill	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
16.square	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
16.square.fill	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
17.circle	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
17.circle.fill	iOS=13.0	macOS=10.15	tvOS=13.0	visionOS=1.0	watchOS=6.0
